customer_id,purchase_date,amount,age,income,signup_date,churn,purchase_id
CUST0000,2022-02-03,67.59,56,54674,2021-11-07,0,PUR00000
CUST0001,2021-08-02,234.21,69,55854,2021-07-18,0,PUR00001
CUST0001,2022-07-16,189.04,69,55854,2021-07-18,0,PUR00002
CUST0001,2021-10-18,139.26,69,55854,2021-07-18,0,PUR00003
CUST0001,2022-09-03,326.21,69,55854,2021-07-18,0,PUR00004
CUST0001,2021-12-28,135.75,69,55854,2021-07-18,0,PUR00005
CUST0001,2022-07-22,176.68,69,55854,2021-07-18,0,PUR00006
CUST0001,2021-08-07,196.95,69,55854,2021-07-18,0,PUR00007
CUST0001,2023-11-22,135.67,69,55854,2021-07-18,0,PUR00008
CUST0001,2023-05-08,179.45,69,55854,2021-07-18,0,PUR00009
CUST0001,2023-02-19,113.08,69,55854,2021-07-18,0,PUR00010
CUST0001,2023-12-01,447.96,69,55854,2021-07-18,0,PUR00011
CUST0001,2023-04-06,27.02,69,55854,2021-07-18,0,PUR00012
CUST0001,2023-03-26,337.29,69,55854,2021-07-18,0,PUR00013
CUST0001,2023-10-15,163.26,69,55854,2021-07-18,0,PUR00014
CUST0001,2022-09-26,96.36,69,55854,2021-07-18,0,PUR00015
CUST0001,2022-11-26,80.02,69,55854,2021-07-18,0,PUR00016
CUST0001,2021-09-25,469.31,69,55854,2021-07-18,0,PUR00017
CUST0001,2022-07-18,194.29,69,55854,2021-07-18,0,PUR00018
CUST0001,2021-10-04,28.26,69,55854,2021-07-18,0,PUR00019
CUST0002,2019-12-14,295.09,46,66271,2019-09-09,1,PUR00020
CUST0003,2018-11-25,185.1,32,93688,2018-10-03,0,PUR00021
CUST0003,2018-10-31,288.85,32,93688,2018-10-03,0,PUR00022
CUST0003,2020-07-08,357.45,32,93688,2018-10-03,0,PUR00023
CUST0003,2023-06-19,357.49,32,93688,2018-10-03,0,PUR00024
CUST0003,2019-01-17,111.64,32,93688,2018-10-03,0,PUR00025
CUST0003,2021-07-16,267.17,32,93688,2018-10-03,0,PUR00026
CUST0003,2019-03-19,314.54,32,93688,2018-10-03,0,PUR00027
CUST0003,2020-06-20,66.66,32,93688,2018-10-03,0,PUR00028
CUST0003,2021-09-12,475.9,32,93688,2018-10-03,0,PUR00029
CUST0003,2022-02-13,25.42,32,93688,2018-10-03,0,PUR00030
CUST0004,2022-01-30,350.84,60,58518,2021-08-29,1,PUR00031
CUST0004,2022-04-18,194.99,60,58518,2021-08-29,1,PUR00032
CUST0004,2022-04-22,103.02,60,58518,2021-08-29,1,PUR00033
CUST0005,2022-12-30,191.87,25,30267,2020-10-08,0,PUR00034
CUST0005,2023-05-12,63.12,25,30267,2020-10-08,0,PUR00035
CUST0005,2023-05-01,352.8,25,30267,2020-10-08,0,PUR00036
CUST0005,2023-07-28,86.63,25,30267,2020-10-08,0,PUR00037
CUST0005,2023-06-17,375.53,25,30267,2020-10-08,0,PUR00038
CUST0005,2022-03-10,319.21,25,30267,2020-10-08,0,PUR00039
CUST0005,2022-08-02,283.84,25,30267,2020-10-08,0,PUR00040
CUST0005,2022-02-17,458.07,25,30267,2020-10-08,0,PUR00041
CUST0005,2021-05-10,152.09,25,30267,2020-10-08,0,PUR00042
CUST0005,2020-12-11,486.72,25,30267,2020-10-08,0,PUR00043
CUST0005,2021-12-24,201.07,25,30267,2020-10-08,0,PUR00044
CUST0005,2020-11-29,267.68,25,30267,2020-10-08,0,PUR00045
CUST0005,2022-01-15,82.89,25,30267,2020-10-08,0,PUR00046
CUST0005,2023-03-13,491.44,25,30267,2020-10-08,0,PUR00047
CUST0005,2022-10-06,163.0,25,30267,2020-10-08,0,PUR00048
CUST0005,2023-08-02,89.01,25,30267,2020-10-08,0,PUR00049
CUST0005,2021-01-21,364.39,25,30267,2020-10-08,0,PUR00050
CUST0005,2022-02-25,393.76,25,30267,2020-10-08,0,PUR00051
CUST0005,2021-10-21,226.31,25,30267,2020-10-08,0,PUR00052
CUST0005,2022-09-14,174.55,25,30267,2020-10-08,0,PUR00053
CUST0006,2022-07-01,136.86,38,110825,2021-01-12,0,PUR00054
CUST0006,2021-02-24,247.15,38,110825,2021-01-12,0,PUR00055
CUST0006,2023-08-05,187.52,38,110825,2021-01-12,0,PUR00056
CUST0006,2022-06-14,398.08,38,110825,2021-01-12,0,PUR00057
